place, population, pct_under_18, pct_between_18_64, pct_over 64, male_female_ratio
Atwater city;22282.0;35.6;57.7;6.7;94.2
Fallbrook CDP;22095.0;29.5;58.3;12.2;98.0
South Lake Tahoe city;21586.0;23.7;67.9;8.4;106.6
Barstow city;21472.0;30.9;60.1;9.0;98.5
Perris city;21460.0;34.2;56.2;9.6;94.5
South El Monte city;20850.0;34.0;60.5;5.5;110.1
Duarte city;20688.0;28.5;60.1;11.4;88.7
Banning city;20570.0;28.4;50.4;21.1;87.9
Millbrae city;20412.0;19.5;61.1;19.4;87.9
Isla Vista CDP;20395.0;6.3;91.5;2.2;109.0
Agoura Hills city;20390.0;31.2;65.0;3.8;94.2
Port Hueneme city;20319.0;27.5;62.6;9.9;111.9
West Puente Valley CDP;20254.0;32.4;62.1;5.5;99.7
West Carson CDP;20143.0;21.7;65.5;12.8;92.3
San Lorenzo CDP;19987.0;23.1;60.4;16.5;91.0
Lomita city;19382.0;23.4;65.4;11.2;89.8
La Canada Flintridge city;19378.0;25.1;61.4;13.5;94.2
Hollister city;19212.0;32.9;58.2;8.9;99.9
Rocklin city;19033.0;28.4;62.4;9.2;93.9
Brawley city;18923.0;35.8;55.3;8.9;90.8
Valinda CDP;18735.0;33.3;60.6;6.1;99.5
Calexico city;18633.0;37.5;54.2;8.4;83.2
El Paso de Robles (Paso Robles) city;18583.0;29.3;56.6;14.1;93.6
Oakley CDP;18374.0;33.1;61.1;5.8;100.6
Lake Elsinore city;18285.0;33.6;58.0;8.5;102.2
Hermosa Beach city;18219.0;10.4;83.8;5.8;122.0
Stanford CDP;18097.0;7.6;88.6;3.8;144.8
South San Jose Hills CDP;17814.0;34.9;60.0;5.1;101.5
East Hemet CDP;17611.0;30.0;54.3;15.6;89.5
Elk Grove CDP;17483.0;32.5;60.0;7.5;90.5
Pinole city;17460.0;25.1;65.1;9.8;91.6
West Pittsburg CDP;17453.0;31.2;61.0;7.8;97.7
Loma Linda city;17400.0;23.8;62.3;13.9;85.7
Foothill Farms CDP;17135.0;27.5;65.6;6.9;89.4
La Crescenta-Montrose CDP;16968.0;23.5;65.3;11.3;92.3
Coachella city;16896.0;40.4;54.7;4.9;103.6
Sanger city;16839.0;34.2;55.4;10.4;93.8
Hercules city;16829.0;30.1;65.5;4.5;91.8
Orinda city;16642.0;22.2;61.6;16.3;93.7
Ashland CDP;16590.0;23.4;64.0;12.6;90.3
Albany city;16327.0;21.6;65.4;13.0;83.2
San Jacinto city;16210.0;28.4;49.9;21.7;89.6
Pacific Grove city;16117.0;17.6;63.3;19.0;81.8
Moraga Town city;15852.0;21.2;66.9;11.9;90.2
Reedley city;15791.0;31.5;56.8;11.8;106.4
Mira Loma CDP;15786.0;33.7;61.1;5.1;103.4
Santa Fe Springs city;15520.0;28.8;59.6;11.6;90.7
Artesia city;15464.0;28.0;60.8;11.2;97.6
La Palma city;15392.0;25.1;69.5;5.4;98.1
El Segundo city;15223.0;18.8;71.6;9.6;98.5
Live Oak CDP;15212.0;23.7;62.1;14.2;86.7
Arcata city;15197.0;17.7;72.8;9.5;101.1
Bloomington CDP;15116.0;33.8;58.1;8.1;98.2
Sun City CDP;14930.0;11.0;32.8;56.2;77.5
East Foothills CDP;14898.0;25.7;61.9;12.4;97.5
Selma city;14757.0;33.2;55.1;11.8;91.9
Walnut Park CDP;14722.0;32.6;61.0;6.4;100.4
Ukiah city;14599.0;27.7;57.0;15.2;85.3
